timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599016123345,22,登录,200,HTTP/1.1 200,系统设置-用户管理 1-1,text,true,,244,0,1,1,http://192.168.2.32:8080/admin/sys/self/login,22,0,0
1599016123375,24,新增用户,200,HTTP/1.1 200,系统设置-用户管理 1-1,text,true,,222,0,1,1,http://192.168.2.32:8080/admin/sys/user/add,24,0,0
1599016123405,12,组织树,200,HTTP/1.1 200,系统设置-用户管理 1-1,text,true,,2867,0,1,1,http://192.168.2.32:8080/admin/sys/user/org-tree,12,0,0
1599016123420,5,角色下拉列表 ,200,HTTP/1.1 200,系统设置-用户管理 1-1,text,true,,228,0,1,1,http://192.168.2.32:8080/admin/sys/user/role-list,5,0,0
1599016123429,21,编辑用户 ,200,HTTP/1.1 200,系统设置-用户管理 1-1,text,true,,222,0,1,1,http://192.168.2.32:8080/admin/sys/user/edit,21,0,0
1599016123452,16,用户详情,200,HTTP/1.1 200,系统设置-用户管理 1-1,text,true,,477,0,1,1,http://192.168.2.32:8080/admin/sys/user/detail,16,0,0
1599016123470,12,删除用户,200,HTTP/1.1 200,系统设置-用户管理 1-1,text,true,,210,0,1,1,http://192.168.2.32:8080/admin/sys/user/remove,12,0,0
1599016123492,11,用户登录,200,HTTP/1.1 200,系统设置-个人中心 2-1,text,true,,244,0,1,1,http://192.168.2.32:8080/admin/sys/self/login,11,0,0
1599016123541,15,个人详情,200,,系统设置-个人中心 2-1,text,true,,453,253,1,1,http://192.168.2.32:8080/admin/sys/self/detail,15,0,8
1599016123557,7,编辑个人详情,200,,系统设置-个人中心 2-1,text,true,,234,344,1,1,http://192.168.2.32:8080/admin/sys/self/edit,7,0,0
1599016123565,9,修改个人密码,200,,系统设置-个人中心 2-1,text,true,,234,304,1,1,http://192.168.2.32:8080/admin/sys/self/modifyPwd,8,0,0
1599016123578,9,用户登录,200,HTTP/1.1 200,系统设置-个人中心 2-1,text,true,,244,0,1,1,http://192.168.2.32:8080/admin/sys/self/login,9,0,0
1599016123587,7,个人权限信息,200,,系统设置-个人中心 2-1,text,true,,1790,256,1,1,http://192.168.2.32:8080/admin/sys/self/authority,7,0,0
1599016123595,2,用户登出,200,,系统设置-个人中心 2-1,text,true,,222,253,1,1,http://192.168.2.32:8080/admin/sys/self/logout,2,0,0
1599016123601,9,登录,200,HTTP/1.1 200,系统设置-组织架构 3-1,text,true,,244,0,1,1,http://192.168.2.32:8080/admin/sys/self/login,9,0,0
1599016123615,14,新建组织,200,,系统设置-组织架构 3-1,text,true,,228,476,1,1,http://192.168.2.32:8080/admin/sys/org/add,14,0,2
1599016123632,13,编辑组织,200,HTTP/1.1 200,系统设置-组织架构 3-1,text,true,,216,0,1,1,http://192.168.2.32:8080/admin/sys/org/edit,13,0,0
1599016123648,10,删除组织,200,,系统设置-组织架构 3-1,text,true,,228,278,1,1,http://192.168.2.32:8080/admin/sys/org/remove,10,0,0
1599016123665,17,组织树,200,,系统设置-组织架构 3-1,text,true,,4079,250,1,1,http://192.168.2.32:8080/admin/sys/org/tree,17,0,0
1599016123685,18,组织树形列表 ,200,,系统设置-组织架构 3-1,text,true,,1497,281,1,1,http://192.168.2.32:8080/admin/sys/org/treelist,18,0,0
1599016123705,4,组织类型列表 ,200,,系统设置-组织架构 3-1,text,true,,301,271,1,1,http://192.168.2.32:8080/admin/sys/org/typelist,4,0,0
1599016123714,9,登录,200,HTTP/1.1 200,系统设置-角色管理 4-1,text,true,,244,0,1,1,http://192.168.2.32:8080/admin/sys/self/login,9,0,0
1599016123725,10,新建角色,200,,系统设置-角色管理 4-1,text,true,,234,503,1,1,http://192.168.2.32:8080/admin/sys/role/add,10,0,1
1599016123738,13,权限分配 ,200,,系统设置-角色管理 4-1,text,true,,234,364,1,1,http://192.168.2.32:8080/admin/sys/role/authority,13,0,0
